timestamp,x,y,polarity
9416000,42,7,0
9416075,46,116,0
9416100,94,29,0
9416197,42,112,0
9416354,108,60,1
9416425,123,49,0
9416609,15,72,1
9416647,53,15,0
9416760,82,105,0
9416879,20,64,0
9417182,20,64,0
9417359,13,67,0
9417534,123,49,1
9417837,123,49,1
9418033,20,64,1
9418090,83,113,0
9418236,41,31,1
9418243,123,49,0
9418511,76,44,0
9418669,86,94,1
9418876,64,98,0
9419179,64,98,0
9419483,64,98,0
9419569,49,121,0
9419755,44,9,0
9419833,102,83,0
9419983,69,68,0
9420286,69,68,0
9420311,3,65,0
9420356,19,84,0
9420659,19,84,0
9420878,42,112,0
9420886,2,115,0
9420950,2,112,0
9421227,1,51,0
9421531,1,51,0
9421577,28,34,0
9421880,28,34,0
9421890,40,116,0
9421917,102,111,0
9422109,45,92,0
9422128,41,30,0
9422432,41,30,0
9422548,48,61,0
9422554,55,117,0
9422658,118,103,1
9422962,118,103,1
9423119,15,100,1
9423145,90,34,0
9423404,104,6,0
9423637,87,53,0
9423657,15,72,0
9423801,21,23,0
9424105,21,23,0
9424161,80,110,0
9424351,42,97,1
9424654,42,97,1
9424800,96,15,0
9424852,2,55,1
9424897,51,0,1
9424901,2,27,0
9424964,42,112,0
9425031,91,112,0
9425097,49,86,0
9425400,49,86,0
9425704,49,86,0
9425706,48,15,0
9425809,80,90,0
9425912,32,98,0
9425919,89,23,0
9426223,89,23,0
9426464,13,116,0
9426768,13,116,0
9426862,101,54,0
9426925,68,24,0
9426932,48,15,1
9426943,48,108,0
9427055,37,68,0
9427057,101,10,0
9427258,109,91,0
9427511,49,76,0
9427525,33,116,1
9427766,117,124,0
9427805,44,75,0
9427993,72,108,0
9428167,27,44,0
9428235,67,79,0
9428243,39,101,1
9428544,68,105,0
9428725,6,62,0
9428750,77,5,0
9428991,38,23,0
9429060,67,82,1
9429091,116,118,0
9429205,62,38,0
9429440,78,71,0
9429742,94,11,0
9429958,65,98,1
9430248,83,72,0
9430310,16,32,0
9430613,16,32,0
9430625,83,1,0
9430701,30,115,1
9430750,89,121,0
9430757,55,123,0
9430917,53,76,0
9431131,24,65,1
9431153,35,51,1
9431456,35,51,1
9431760,35,51,1
9431868,64,74,0
9431998,26,110,0
9432296,11,56,0
9432311,16,73,0
